"Item name","Item sku","Item barcode","Item description","Item manufacturer","Item weight","Listing name","Listing sku","Listing barcode","Listing description","Listing manufacturer","Item Woo_Item Colour","Item Woo_Price","Item Woo_TaxRate","Item Woo_Item Size","Listing Woo_TaxRate","Listing Woo_Price","Listing Woo_Item Size","Listing Woo_Item Colour","Item Woo_Categories","Listing Woo_Categories","Item Woo_Size","Item Woo_SalePrice","Listing Woo_SalePrice",
"One","1","111111111111111111",,"1",,"One",,"111000000000000000",,"1",
"SQUAD 21 JSY LS L RED","321","321","SQUAD 21 JSY LS L RED","ADIDAS",,"SQUAD 21 JSY LS L RED",,"321","SQUAD 21 JSY LS L RED","ADIDAS",
"mepps 2g rouge","345","345",,"napier & craig",,"mepps 2g rouge",,"345",,"napier & craig",
"SHOCK LEADER 32LBS","596","596",,"TRONIX",,"SHOCK LEADER 32LBS",,"596",,"TRONIX",
"WEIGHTS 18/28 4PCS","601","601",,"AXIA",,"WEIGHTS 18/28 4PCS",,"601",,"AXIA",
"SHOCK LEADER 60LBS","822","822",,"TRONIX",,"SHOCK LEADER 60LBS",,"822",,"TRONIX",
"AXIA DRIFTER FLOAT PIKE KIT 30G","869","869",,"AXIA",,"AXIA DRIFTER FLOAT PIKE KIT 30G",,"869",,"AXIA",
"CARDOC POLY FISHING LINE","1086","1086",,"NAPIER AND CRAIG",,"CARDOC POLY FISHING LINE",,"1086",,"NAPIER AND CRAIG",
"SQUAD 21 JSY LS S RED","1234","1234","SQUAD 21 JSY LS S RED","ADIDAS",,"SQUAD 21 JSY LS S RED",,"1234","SQUAD 21 JSY LS S RED","ADIDAS",
"ABERDEEN WORM HOOK 2/0","2078","2078",,"KAMASAN",,"ABERDEEN WORM HOOK 2/0",,"2078",,"KAMASAN",
"mepps 2 rouge","3456","3456","mepps 2 rouge","napier & craig",,"mepps 2 rouge",,"3456","mepps 2 rouge","napier & craig",
"BALL LEGERS 12/16","3785","3785",,"3785",,"BALL LEGERS 12/16",,"3785",,"3785",
"OLD GUYS RULE APRON","3804","3804",,,,"OLD GUYS RULE APRON",,"3804",,,
"mepps 2 chartreuse","5152","5152","mepps 2 chartreuse","naoier & craig",,"mepps 2 chartreuse",,"5152","mepps 2 chartreuse","naoier & craig",
"mepps 2  orange","5256","5256","mepps 2 orange","napier & craig",,"mepps 2  orange",,"5256","mepps 2 orange","napier & craig",
"OVAL BULDO","5432","5432",,"N&C",,"OVAL BULDO",,"5432",,"N&C",
"mepps 2 rainbo","5555","5555","mepps 2 rainbo","napier & craig",,"mepps 2 rainbo",,"5555","mepps 2 rainbo","napier & craig",
"AXIA INCLINE PIKE FLOAT KIT 30G","5819","5819",,"AXIA",,"AXIA INCLINE PIKE FLOAT KIT 30G",,"5819",,"AXIA",
"INCLINE PIKE FLOAT KIT 20G","5829","5829",,"AXIA",,"INCLINE PIKE FLOAT KIT 20G",,"5829",,"AXIA",
"SPIN TRACE 17LBS","6454","6454",,"AXIA",,"SPIN TRACE 17LBS",,"6454",,"AXIA",
"SPIN TRACE 28LBS","6753","6753",,"AXIA",,"SPIN TRACE 28LBS",,"6753",,"AXIA",
"mepps 2 argent","7640","7640","mepps 2 argent","napier & craig",,"mepps 2 argent",,"7640","mepps 2 argent","napier & craig",
"HIGHLANDER STOW AND GO JACKET BLACK SIZE S","7777","7777","X000WSY5SB","HIGHLANDER",,"HIGHLANDER STOW AND GO JACKET BLACK SIZE S",,"7777","X000WSY5SB","HIGHLANDER",
