"Item SKU","Item Name","Item Format","Composing Quantity"
"SKU-FBZH3VLZE8","Delivita Pizza Oven Emerald Fire","Variable",
"1010PB","Delivita Pizza Oven Emerald Fire - Pizzaiolo Bundle","Simple",
"1010-Unit","Delivita Pizza Oven Emerald Fire - Pizza Oven Only","Simple",
"1010CC","Delivita Pizza Oven Emerald Fire - Complete Collection","Simple",
"1010WFCB","Delivita Pizza Oven Emerald Fire - Wood-Fired Chef's Bundle","Simple",

"KBCB-PB","Kirami Breezy M Coalblack Hot Tub (4-6 people) - Premium Bundle","Composite",
"2723","Kirami Stepin Coalblack Steps","Simple","1"
"SPELTI-CMC","Kirami Air Vent for External Heaters","Simple","1"
"KBreezyMCB-BOM","Kirami Breezy M Coalblack Hot Tub Unit","Simple","1"
"CTLO","Kirami Ash Shovel for External Heaters","Simple","1"
"IC1900U","Premium Insulated Medium Cover","Simple","1"
"KiramiGrate","Kirami Grate","Simple","1"

"SKU-CRQ8KGBBFC","Charnwood Cooking Plate","Variable",
"010/BP150S","Charnwood Cooking Plate - 150mm Plate","Simple",
"010/AP150S","Charnwood Cooking Plate - 125mm Plate","Simple",

"SKU-E142DXDZER","Sales Booster Cart Pop-up Test Product 1","Variable",
"TESTQP","Sales Booster Cart Pop-up Test Product 1 - Quarter Pallet","Simple",
"TEST3/4","Sales Booster Cart Pop-up Test Product 1 - 3/4 Pallet","Simple",
"TESTHP","Sales Booster Cart Pop-up Test Product 1 - Half Pallet","Simple",
"TESTFP","Sales Booster Cart Pop-up Test Product 1 - Full Pallet","Simple",

"967864016Kit","Husqvarna 540iXP Battery Chainsaw - Unit 16'' + BLi300 &amp; QC330","Composite",
"970522202","Husqvarna QC330 Battery Charger","Simple","1"
"967864016-BOM","Husqvarna 540iXP Chainsaw (Unit Only)","Simple","1"
"967071901","Husqvarna BLi300 Battery 36w/9.4Ah","Simple","1"

"SKU-T36I9KX1QZ","Husqvarna Trimmer Head T35","Variable",
"578446301","Husqvarna Trimmer Head T35 - M10","Simple",
"578446401","Husqvarna Trimmer Head T35 - M12","Simple",

"SKU-92T6BF4TWN","Husqvarna Functional Waist Trousers","Variable",
"595000848","Husqvarna Functional Waist Trousers - 34""","Simple",
"595000852","Husqvarna Functional Waist Trousers - 36""","Simple",
"595000846","Husqvarna Functional Waist Trousers - 32""","Simple",

"CFL96","Calido Fire Log Briquettes - Full Pallet","Composite",
"CFL1","Calido Fire Log Briquettes","Simple","96"

"1005-CCB","Delivita Pizza Oven Chilli Red - Complete Collection Bundle","Composite",
"1005","Delivita Pizza Oven Chilli Red - Unit","Simple","1"
"COMPLETECOLLECTION","Delivita Complete Collection","Simple","1"

"SKU-BRG6698BH2","Husqvarna Technical Brushcutter &amp; Trimming Jacket","Variable",
"597660262","Husqvarna Technical Brushcutter &amp; Trimming Jacket - XXL","Simple",
"597660250","Husqvarna Technical Brushcutter &amp; Trimming Jacket - M","Simple",
"597660254","Husqvarna Technical Brushcutter &amp; Trimming Jacket - L","Simple",
"597660246","Husqvarna Technical Brushcutter &amp; Trimming Jacket - S","Simple",
"597660258","Husqvarna Technical Brushcutter &amp; Trimming Jacket - XL","Simple",

"SKU-5CEFQVYS3H","Calido Wood Briquettes + Net Bag Bundle","Variable",
"CWBN48BIRCHNET12","Calido Wood Briquettes + Net Bag Bundle - 48 Packs of Briquettes w/ 12 Birch Net Bags","Simple",
"CWBN48ASHNET12","Calido Wood Briquettes + Net Bag Bundle - 48 Packs of Briquettes w/ 12 Ash Net Bags","Simple",

"SKU-TL3W9NR7BM","Husqvarna C85 X-Cut Chisel 3/8 1.5mm","Variable",
"581626692","Husqvarna C85 X-Cut Chisel 3/8 1.5mm - 28""","Simple",
"581626656","Husqvarna C85 X-Cut Chisel 3/8 1.5mm - 15""","Simple",
"581626684","Husqvarna C85 X-Cut Chisel 3/8 1.5mm - 24""","Simple",
"581626668","Husqvarna C85 X-Cut Chisel 3/8 1.5mm - 18""","Simple",
"581626672","Husqvarna C85 X-Cut Chisel 3/8 1.5mm - 20""","Simple",

"CWBN24","Calido Wood Briquettes - Quarter Pallet","Composite",
"CWBN1","Calido Wood Briquettes","Simple","24"

"SKU-7ICGK89S4G","Contura 610AG Style - 6kW","Variable",
"C610AG:1","Contura 610AG Style - 6kW - Black","Simple",
"C610AG:2","Contura 610AG Style - 6kW - Black w/ warming shelf","Simple",

"SKU-6SO9NV14W9","Husqvarna Chainsaw 550XP Mark II","Variable",
"967690813","Husqvarna Chainsaw 550XP Mark II - 33cm / 13"" Bar","Simple",
"967690815","Husqvarna Chainsaw 550XP Mark II - 37cm / 15"" Bar","Simple",
"967690818","Husqvarna Chainsaw 550XP Mark II - 45cm / 18"" Bar","Simple",
"967690801","Husqvarna Chainsaw 550XP Mark II - Unit Only","Simple",

"CWBN96","Calido Wood Briquettes - Full Pallet","Composite",
"CWBN1","Calido Wood Briquettes","Simple","96"

"KST-BB","Kirami Steady M Thermowood Hot Tub (4-6 people) - Starter Bundle","Composite",
"KSteadyMTW-BOM","Kirami Steady M Thermowood Hot Tub Unit","Simple","1"

"SKU-KKPOWM4SZL","Husqvarna 520iRX Battery Trimmer","Variable",
"967916202","Husqvarna 520iRX Battery Trimmer - 520iRX Unit Only","Simple",
"967916202Kit","Husqvarna 520iRX Battery Trimmer - Unit + BLi200 &amp; QC330","Simple",

"SKU-YCE0AY4OBU","Charnwood Aire 5 Low Stand – 5kW","Variable",
"009/AIRE05LS/MB","Charnwood Aire 5 Low Stand – 5kW - Matt Black","Simple",
"009/AIRE05LS/GM","Charnwood Aire 5 Low Stand – 5kW - Gunmetal Grey","Simple",

"KiramiFamilyLRedCedarHotTub","Kirami Family L Red Cedar Hot Tub (6-8 people)","Variable",
"KFLRC-PB","Kirami Family L Red Cedar Hot Tub (6-8 people) - Premium Bundle","Simple",
"KFLRC-BBPC","Kirami Family L Red Cedar Hot Tub (6-8 people) - Standard Bundle","Simple",

"SKU-2NJKC9Q3NM","Husqvarna Technical Extreme Forest Jacket","Variable",
"582331054","Husqvarna Technical Extreme Forest Jacket - L","Simple",
"582331050","Husqvarna Technical Extreme Forest Jacket - M","Simple",
"582331046","Husqvarna Technical Extreme Forest Jacket - S","Simple",
"582331062","Husqvarna Technical Extreme Forest Jacket - XXL","Simple",
"582331058","Husqvarna Technical Extreme Forest Jacket - XL","Simple",

"SKU-UR4ABS301O","Husqvarna Wheel Brush Kit","Variable",
"587235701","Husqvarna Wheel Brush Kit - 310 / 315 Kit","Simple",
"581903102","Husqvarna Wheel Brush Kit - 400 / 500 Series Kit","Simple",
"597704601","Husqvarna Wheel Brush Kit - 305 / 405X / 415X Kit","Simple",

"1001-CCB","Delivita Pizza Oven Olive Green - Complete Collection Bundle","Composite",
"COMPLETECOLLECTION","Delivita Complete Collection","Simple","1"
"1001","Delivita Pizza Oven Olive Green - Unit","Simple","1"

"SKU-E4KFRXY0I3","Contura 620G Style - 6kW","Variable",
"C620G:1","Contura 620G Style - 6kW - Black","Simple",
"C620G:2","Contura 620G Style - 6kW - Black w/ warming shelf","Simple",

